"Story","Title","Result","Date","Stability","Duration (s)"
"RestFull API Test","Successful login","SUCCESS","2023-04-17T19:47:40.5439594+07:00[Asia/Jakarta]","0.0","5.12"
"RestFull API Test","Invalid login","SUCCESS","2023-04-17T19:47:45.7018802+07:00[Asia/Jakarta]","0.0","3.71"
"RestFull API Test","Retrieve all products","SUCCESS","2023-04-17T19:47:49.4231649+07:00[Asia/Jakarta]","0.0","1.62"
"RestFull API Test","Retrieve a single product","SUCCESS","2023-04-17T19:47:51.0631495+07:00[Asia/Jakarta]","0.0","0.5"
"RestFull API Test","Retrieve a non-existent product","SUCCESS","2023-04-17T19:47:51.5736992+07:00[Asia/Jakarta]","0.0","0.47"
"RestFull API Test","Get product with limit 5","SUCCESS","2023-04-17T19:47:52.063059+07:00[Asia/Jakarta]","0.0","0.85"
"RestFull API Test","Get product with limit 50","SUCCESS","2023-04-17T19:47:52.9211748+07:00[Asia/Jakarta]","0.0","0.76"
"RestFull API Test","Get sorted product list","SUCCESS","2023-04-17T19:47:53.6930532+07:00[Asia/Jakarta]","0.0","0.47"
"RestFull API Test","Get all product categories","SUCCESS","2023-04-17T19:47:54.1730344+07:00[Asia/Jakarta]","0.0","0.46"
"RestFull API Test","Get in product categories","SUCCESS","2023-04-17T19:47:54.6419398+07:00[Asia/Jakarta]","0.0","3.77"
"RestFull API Test","Get in invalid product categories","SUCCESS","2023-04-17T19:47:58.4234041+07:00[Asia/Jakarta]","0.0","3.69"
"RestFull API Test","Add a new product to the database","SUCCESS","2023-04-17T19:48:02.1264785+07:00[Asia/Jakarta]","0.0","2.39"
"RestFull API Test","Add a new product to the database with invalid data","SUCCESS","2023-04-17T19:48:04.5206873+07:00[Asia/Jakarta]","0.0","0.57"
"RestFull API Test","Update product with valid data","SUCCESS","2023-04-17T19:48:05.0958166+07:00[Asia/Jakarta]","0.0","0.51"
"RestFull API Test","Update product with invalid data","SUCCESS","2023-04-17T19:48:05.6129337+07:00[Asia/Jakarta]","0.0","0.48"
"RestFull API Test","User deletes a product from the product list","SUCCESS","2023-04-17T19:48:06.1000417+07:00[Asia/Jakarta]","0.0","3.72"
"RestFull API Test","User deletes a product from the invalid product list","SUCCESS","2023-04-17T19:48:09.8228849+07:00[Asia/Jakarta]","0.0","3.77"
"RestFull API Test","Retrieve all carts","SUCCESS","2023-04-17T19:48:13.6022995+07:00[Asia/Jakarta]","0.0","3.7"
"RestFull API Test","Retrieve a single carts","SUCCESS","2023-04-17T19:48:17.3062839+07:00[Asia/Jakarta]","0.0","3.85"
"RestFull API Test","Retrieve a non-existent carts","SUCCESS","2023-04-17T19:48:21.1657312+07:00[Asia/Jakarta]","0.0","4.05"
"RestFull API Test","Get carts with limit 5","SUCCESS","2023-04-17T19:48:25.2237357+07:00[Asia/Jakarta]","0.0","3.7"
"RestFull API Test","Get carts with limit 50","SUCCESS","2023-04-17T19:48:28.9311737+07:00[Asia/Jakarta]","0.0","3.84"
"RestFull API Test","Get sorted carts list","SUCCESS","2023-04-17T19:48:32.7801058+07:00[Asia/Jakarta]","0.0","4.05"
"RestFull API Test","Get cart in date range","SUCCESS","2023-04-17T19:48:36.8314173+07:00[Asia/Jakarta]","0.0","3.79"
"RestFull API Test","Retrieve a user carts","SUCCESS","2023-04-17T19:48:40.6322083+07:00[Asia/Jakarta]","0.0","0.45"
"RestFull API Test","Retrieve a user carts invalid","SUCCESS","2023-04-17T19:48:41.0928629+07:00[Asia/Jakarta]","0.0","0.46"
"RestFull API Test","Add a new cart to the database","SUCCESS","2023-04-17T19:48:41.5538807+07:00[Asia/Jakarta]","0.0","0.48"
"RestFull API Test","Add a new cart to the database with invalid data","SUCCESS","2023-04-17T19:48:42.0409264+07:00[Asia/Jakarta]","0.0","0.48"
"RestFull API Test","Update cart with valid data","SUCCESS","2023-04-17T19:48:42.5273503+07:00[Asia/Jakarta]","0.0","0.47"
"RestFull API Test","Update cart with invalid data","SUCCESS","2023-04-17T19:48:43.0025331+07:00[Asia/Jakarta]","0.0","0.47"
"RestFull API Test","User deletes a cart from the product list","SUCCESS","2023-04-17T19:48:43.477058+07:00[Asia/Jakarta]","0.0","3.85"
"RestFull API Test","User deletes a cart from the invalid product list","SUCCESS","2023-04-17T19:48:47.3337285+07:00[Asia/Jakarta]","0.0","3.93"
"RestFull API Test","Retrieve all users","SUCCESS","2023-04-17T19:48:51.2667102+07:00[Asia/Jakarta]","0.0","3.82"
"RestFull API Test","Retrieve a single users","SUCCESS","2023-04-17T19:48:55.0951987+07:00[Asia/Jakarta]","0.0","3.66"
"RestFull API Test","Retrieve a non-existent users","SUCCESS","2023-04-17T19:48:58.760429+07:00[Asia/Jakarta]","0.0","3.53"
"RestFull API Test","Get users with limit 5","SUCCESS","2023-04-17T19:49:02.2962637+07:00[Asia/Jakarta]","0.0","3.79"
"RestFull API Test","Get users with limit 50","SUCCESS","2023-04-17T19:49:06.0955592+07:00[Asia/Jakarta]","0.0","3.61"
"RestFull API Test","Get sorted users list","SUCCESS","2023-04-17T19:49:09.7094888+07:00[Asia/Jakarta]","0.0","3.51"
"RestFull API Test","Update users with valid data","SUCCESS","2023-04-17T19:49:13.2268427+07:00[Asia/Jakarta]","0.0","0.47"
"RestFull API Test","Update users with invalid data","SUCCESS","2023-04-17T19:49:13.7012138+07:00[Asia/Jakarta]","0.0","0.45"
"RestFull API Test","User deletes a users from the product list","SUCCESS","2023-04-17T19:49:14.1541473+07:00[Asia/Jakarta]","0.0","3.6"
"RestFull API Test","User deletes a users from the invalid product list","SUCCESS","2023-04-17T19:49:17.7597849+07:00[Asia/Jakarta]","0.0","3.68"
